Skola,Datum,Tentanummer,Totala poäng,Fråga 1 Poäng,Fråga 2 Poäng,Fråga 3 Poäng,Fråga 4 Poäng,Fråga 5 Poäng,Fråga 6 Poäng,Fråga 7 Poäng,Fråga 8 Poäng,Fråga 9 Poäng,Fråga 10 Poäng,Fråga 11 Poäng,Fråga 12 Poäng,Fråga 13 Poäng,Fråga 14 Poäng,Summa,Lika med E
Handelshögskolan i Stockholm,2019-03-06,SM-45-01,55.5,5,1,4,0,8,9,5,1,4,4,5,3,3,3.5,55.5,TRUE
Handelshögskolan i Stockholm,2019-03-06,SM-45-02,56.5,8,1,4,0,6,9,5,0,5,5,5,3,2,3.5,56.5,TRUE
Handelshögskolan i Stockholm,2019-03-06,SM-45-03,53,8,1,3,0,8,6,3,4,3,4,5,2,2,4,53,TRUE
Handelshögskolan i Stockholm,2019-03-06,SM-45-04,47.5,8,1,4,4,4,1,5,1,5,4,4,3,1,2.5,47.5,TRUE
Handelshögskolan i Stockholm,2019-03-06,SM-45-05,49,8,1,4,2,1,9,3,2,2,5,5,4,0,3,49,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-04,33,7,0,3,2,1,1,2,2,2,5,5,2,0,1,33,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-06,45,8,2,4,2,7,8,2,0,5,5,0,2,0,0,45,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-03,30,8,0,4,0,6,2,4,0,0,4,0,2,0,0,30,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-05,40,10,2,4,3,5,7,5,0,0,4,0,0,0,0,40,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-02,32,5,1,4,1,1,0,3,3,3,4,3,2,0,2,32,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-07,53,10,2,4,4,4,2,4,3,5,5,5,4,0,1,53,TRUE
Linnéuniversitetet Kalmar,2019-03-06,SM-40-01,43,7,1,3,1,8,0,3,1,0,5,3,3,3,5,43,TRUE
Linnéuniversitetet Kalmar,2019-03-06,SM-40-02,17,2,0,4,1,0,0,3,0,0,2,1,2,2,0,17,TRUE
Uppsala Universitet Campus Gotland,2019-03-06,SM-75-03,27,3,0.5,3,1,3,0.5,2,0,2,2,5,3,1,1,27,TRUE
Uppsala Universitet Campus Gotland,2019-03-06,SM-75-06,23,6,0,3,2,1.5,0.5,1,1,1,4,1,2,0,0,23,TRUE
Uppsala Universitet Campus Gotland,2019-03-06,SM-75-05,21.5,4,0,4,2,0,0.5,2,1,0,4,0,2,1,1,21.5,TRUE
Uppsala Universitet Campus Gotland,2019-03-06,SM-75-01,16.5,2,0,2,4,2,0,2,0,0,3,0,1,0.5,0,16.5,TRUE
Södertörns högskola,2019-03-06,SM-25-17,39.5,10,0,1,0,3.5,2,2.5,1.5,2,5,5,2,1,4,39.5,TRUE
Södertörns högskola,2019-03-06,SM-25-15,37.5,10,1,2,0,4,0.5,5,2.5,5,4.5,2,0.5,0,0.5,37.5,TRUE
Södertörns högskola,2019-03-06,SM-25-14,31.5,10,1,1,0,0.5,0,4,3,4,1,2,2,0,3,31.5,TRUE
Södertörns högskola,2019-03-06,SM-25-16,29.5,6,2,2,0,1,0,5,2.5,0,5,5,1,0,0,29.5,TRUE
Södertörns högskola,2019-03-06,SM-25-10,27.5,10,1,1.5,0,1,1.5,1.5,3.5,2,1.5,2,1,1,0,27.5,TRUE
Södertörns högskola,2019-03-06,SM-25-03,23.5,10,1,1,0,0,0,1.5,2,0,3,4,1,0,0,23.5,TRUE
Södertörns högskola,2019-03-06,SM-25-06,21.5,10,1,2,0,0,0,4,1.5,1,1,0,1,0,0,21.5,TRUE
Södertörns högskola,2019-03-06,SM-25-17,19.5,10,1,0.5,0,0,0,0.5,2,0,1,4,0.5,0,0,19.5,TRUE
Södertörns högskola,2019-03-06,SM-25-02,20,4,1,1,0,1.5,0,2.5,1,0,0,4,1,4,0,20,TRUE
Södertörns högskola,2019-03-06,SM-25-04,19.5,6,1,3,0,1,0,1,1.5,0,0.5,4,0.5,0,1,19.5,TRUE
Södertörns högskola,2019-03-06,SM-25-11,19,1,0,1,0,1,0,5,0,1,4,4,1,1,0,19,TRUE
Södertörns högskola,2019-03-06,SM-25-09,16.5,3,0,0.5,0,1,1,3,4.5,0,1,2,0.5,0,0,16.5,TRUE
Södertörns högskola,2019-03-06,SM-25-05,14,6,0,0.5,0,1,0,0.5,0.5,0,0.5,4,1,0,0,14,TRUE
