School                            ,q1  ,q2 ,q3 ,q4 ,q5 ,q6  ,q7 ,q8 ,q9 ,q10,q11,q12,q13,q14
Högskolan i Halmstad              ,10.0,0.5,4.0,4.0,1.0,1.0 ,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Högskolan i Skövde                ,4.0 ,1.0,4.0,2.0,8.0,0.0 ,4.0,0.0,2.5,3.0,5.0,1.0,1.0,0.0
Karlstads Universitet             ,4.0 ,1.0,4.0,0.0,5.0,0.0 ,2.0,2.0,5.0,2.5,3.0,2.0,0.0,0.0
Karlstads Universitet             ,8.0 ,1.0,3.0,0.0,2.5,0.5 ,2.0,2.0,3.0,2.0,4.0,2.0,0.0,0.0
Karlstads Universitet             ,8.0 ,0.0,3.0,1.0,5.0,0.5 ,3.0,2.0,4.0,2.0,5.0,2.0,3.0,0.0
Karlstads Universitet             ,6.0 ,0.0,2.0,0.0,5.5,0.0 ,1.0,1.5,2.5,2.5,3.0,2.0,4.0,0.0
Karlstads Universitet             ,2.0 ,1.0,4.0,0.0,0.5,0.0 ,1.0,2.5,0.0,1.0,3.0,0.0,0.0,0.0
Karlstads Universitet             ,9.0 ,0.0,3.0,0.0,4.5,0.0 ,0.5,2.5,2.0,2.5,5.0,2.0,3.0,0.0
Karlstads Universitet             ,2.0 ,1.0,3.0,2.0,3.5,0.0 ,2.5,1.5,3.0,2.0,3.0,2.0,3.0,0.0
Karlstads Universitet             ,2.0 ,1.0,2.0,0.0,2.0,0.0 ,2.5,1.5,4.0,2.5,3.0,2.0,1.0,0.0
Karlstads Universitet             ,10.0,2.0,2.0,0.0,0.0,0.0 ,0.5,1.0,0.0,1.5,2.0,2.0,1.0,0.0
Karlstads Universitet             ,3.0 ,1.0,2.0,1.0,2.5,0.0 ,2.0,1.0,3.0,1.5,5.0,2.0,0.0,1.0
Karlstads Universitet             ,8.0 ,0.0,2.0,0.0,5.5,0.0 ,2.5,1.5,3.5,2.5,5.0,2.0,0.0,0.0
Karlstads Universitet             ,6.0 ,2.0,2.0,2.0,4.0,0.0 ,2.5,0.0,0.0,0.5,4.0,2.0,1.0,4.0
Karlstads Universitet             ,3.0 ,2.0,4.0,2.0,3.5,0.0 ,1.5,1.0,0.0,1.5,0.0,2.0,2.0,0.0
Karlstads Universitet             ,5.0 ,1.0,1.0,3.0,3.5,0.0 ,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
Linköpings Universitet            ,10.0,1.0,3.0,0.0,8.0,7.0 ,0.0,4.0,3.0,3.0,3.5,2.0,1.5,5.0
Linköpings Universitet            ,5.0 ,1.0,4.0,0.0,1.0,0.0 ,4.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0
Linköpings Universitet            ,10.0,1.0,4.0,0.0,0.0,1.0 ,4.0,0.0,4.0,3.0,0.0,2.0,3.0,1.0
Linköpings Universitet            ,5.0 ,1.0,4.0,0.0,7.0,5.0 ,4.0,1.0,4.0,3.0,4.0,2.0,3.0,0.0
Linköpings Universitet            ,10.0,0.0,4.0,0.0,2.0,4.0 ,4.0,3.0,4.0,4.0,5.0,1.0,5.0,0.0
Linköpings Universitet            ,7.0 ,1.0,4.0,0.5,4.0,6.0 ,5.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0
Linköpings Universitet            ,7.0 ,0.0,4.0,0.0,7.0,2.0 ,5.0,3.0,4.0,2.0,2.0,3.0,2.0,0.0
Linköpings Universitet            ,10.0,0.0,4.0,0.0,2.0,0.0 ,3.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0
Linköpings Universitet            ,10.0,1.0,4.0,0.0,3.0,1.0 ,3.0,0.0,3.0,2.0,3.0,2.0,1.0,4.5
Linköpings Universitet            ,10.0,1.0,4.0,0.0,1.0,0.0 ,3.0,0.0,4.0,2.0,4.0,0.5,1.0,1.5
Linnéuniversitetet Kalmar         ,7.0 ,1.0,3.0,1.0,8.0,0.0 ,3.0,1.0,0.0,5.0,3.0,3.0,3.0,5.0
Linnéuniversitetet Kalmar         ,2.0 ,0.0,4.0,1.0,0.0,0.0 ,3.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0
