School,Exam Anon Code,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
Södertörns högskola,-421211969,3.0,0.0,0.5,0.0,1.0,1.0,3.0,4.5,0.0,1.0,2.0,0.5,0.0,0.0
Södertörns högskola,-421211973,6.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.5,4.0,1.0,0.0,0.0
Södertörns högskola,-421211970,4.0,0.0,0.5,0.0,2.0,1.5,1.5,0.0,4.0,1.0,0.0,1.0,0.0,0.0
Södertörns högskola,-421211971,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Södertörns högskola,-421211939,0.0,1.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,2.0,0.5,0.0,0.0
Södertörns högskola,-421211945,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Södertörns högskola,-421211944,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.5,0.0,2.5,0.0,1.0,0.0,0.0
Umeå Universitet,-414896280,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Umeå Universitet,-414896251,5.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0
Umeå Universitet,-414896255,3.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0
Umeå Universitet,-414896254,2.0,0.0,4.0,0.0,8.0,0.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0
Umeå Universitet,-414896277,3.0,0.0,4.0,0.0,3.0,1.0,2.0,2.0,5.0,0.0,0.0,2.0,0.0,3.0
Umeå Universitet,-414896282,2.0,1.0,4.0,1.0,3.0,0.0,3.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0
Umeå Universitet,-414896281,5.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0
Umeå Universitet,-414896279,5.0,1.0,4.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,0.0,4.0,0.0,4.0
Umeå Universitet,-414896253,2.0,1.0,4.0,1.0,5.0,3.0,4.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0
Umeå Universitet,-414896283,6.0,1.0,4.0,0.0,3.0,0.0,2.0,1.0,5.0,1.0,0.0,2.0,6.0,4.0
Umeå Universitet,-414896252,7.0,1.0,4.0,0.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,2.0,0.0,0.0
Umeå Universitet,-414896285,4.0,1.0,4.0,0.0,8.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,0.0
Umeå Universitet,-414896278,5.0,0.0,4.0,3.0,8.0,8.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0
Umeå Universitet,-414896284,3.0,1.0,4.0,4.0,8.0,10.0,4.0,3.0,5.0,2.0,5.0,4.0,2.0,1.0
Uppsala Universitet Campus Gotland,-416594370,3.0,0.5,3.0,1.0,3.0,0.5,2.0,0.0,2.0,2.0,5.0,3.0,1.0,1.0
Uppsala Universitet Campus Gotland,-416594367,6.0,0.0,3.0,2.0,1.5,0.5,1.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0
Uppsala Universitet Campus Gotland,-416594368,4.0,0.0,4.0,2.0,0.0,0.5,2.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0
Uppsala Universitet Campus Gotland,-416594372,2.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.5,0.0
Örebro Universitet,-417666841,6.0,1.0,3.0,0.0,6.0,4.0,2.0,0.0,5.0,2.0,3.0,1.0,3.0,0.0
Örebro Universitet,-417666847,3.0,0.0,2.0,0.0,5.0,7.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0
Örebro Universitet,-417666845,5.0,0.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,5.0,1.0,3.0,1.0
Örebro Universitet,-417666818,5.0,1.0,2.0,0.0,8.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,5.0,1.0
Örebro Universitet,-417666848,4.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,4.0,2.0,3.0,1.0,2.0,1.0
Örebro Universitet,-417666842,2.0,1.0,4.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0,0.0
Örebro Universitet,-417666846,4.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,1.5,1.0
Örebro Universitet,-417666817,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.5,3.0,0.0
Örebro Universitet,-417666844,4.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0
Örebro Universitet,-417666840,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,0.5,1.0,0.0
